Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
266.0,68.10220614383607,8.488756366058606
267.0,68.25716124289325,7.999718136752561
268.0,70.05670827785121,7.7465114454919295
269.0,70.05962420123745,7.292828464966101
270.0,69.06867712331378,7.438201883599775
271.0,68.6909565651479,7.921022102700326
272.0,69.90773676009579,8.176764951592418
273.0,70.78121261027218,6.7479980136880044
274.0,71.03294800954487,6.725700709259675
275.0,71.11679943097533,6.138764392117997
276.0,71.30208143407592,6.210485501330473
277.0,70.4591291026752,6.902931614008865
278.0,70.44538038846632,7.664811075476018
279.0,71.03218353466129,6.994179362882192
280.0,72.05282976618878,6.18242746880727
281.0,72.46089467706848,5.652640055313228
282.0,71.11184162930695,6.898559219024787
283.0,70.46890702034665,7.388896892703627
284.0,70.75932755163964,6.967815686251342
285.0,72.64559029717906,6.130140499627129
286.0,72.72599875278435,5.489613119736925
287.0,72.15050757468077,5.168102108676345
288.0,72.20827391192914,5.558020375999215
289.0,73.01310029210742,5.7931871620355775
290.0,72.09537728537805,6.081775685120829
291.0,72.39145163806839,5.760173977410656
292.0,73.67191373096519,4.87093174325945
293.0,74.0748611044982,5.540687723911331
294.0,73.05049019962456,5.943098423870568
295.0,73.03543540359175,6.9886098080962915
296.0,74.3528436333902,6.662708313883135
297.0,75.25067410328921,5.783272153398221
298.0,74.78576994462028,5.264222128872565
299.0,73.82942070488514,5.7951330251820945
300.0,74.0177966447794,6.65413449442659
301.0,75.07955522066894,7.198692801859281
302.0,74.97178416070122,7.107064067063837
303.0,75.11375048205748,6.414603625977673
304.0,76.16781826741367,5.276969421930351
305.0,76.34445883657683,5.127023921158673
306.0,75.97286224946482,6.078892119600072
307.0,75.91194157618962,7.67005502647796
308.0,76.71886838499583,7.127430090485438
309.0,78.1674919212242,5.287138337153782
310.0,78.801458725896,4.747909747459244
311.0,78.26153454362726,5.483309472130682
312.0,77.968152220821,6.399434135541981
313.0,78.58433896409096,7.077187678689722
314.0,79.72147812507754,6.2372752208874855
315.0,79.41177901957381,5.27847710748349
316.0,78.8612284245095,4.537830541086587
317.0,79.64443964532448,5.333172312279754
318.0,79.430090443084,5.983280612971539
319.0,79.82444571271509,6.9403161846005395
320.0,80.55885618537238,5.776178991401365
321.0,80.97887316811511,5.892732845009931
322.0,81.55191770891923,5.199716844705808
323.0,81.71660871650056,5.39599347228063
324.0,80.56032602132385,6.49791571914572
325.0,81.83289403473474,7.064024694303312
326.0,82.24551098703125,6.602129265276223
327.0,81.85409004231037,5.41018066354401
328.0,81.91724023289106,5.573365452813034
329.0,82.54359708738185,6.754949258866893
330.0,83.26292885633316,7.511735699171382
331.0,83.12001339008692,8.154059381057001
332.0,84.07775549304452,7.140002094720482
333.0,84.34853276974582,6.96374989613093
334.0,84.67407989716705,6.518523732497368
335.0,83.88130842039513,5.708078468774518
336.0,84.03352302913835,6.714142305893895
337.0,85.65688027561286,7.655973961823988
338.0,87.31676942353224,6.575727514056431
339.0,87.3321821374016,5.41541311467521
340.0,86.72429375062612,6.228490989753493
341.0,86.27664581047642,6.966209407200348
342.0,86.7334516459623,8.604138563964838
343.0,87.35768160585981,8.91624189042961
344.0,88.20846194314491,7.310151224613531
345.0,88.73560542133183,6.6411681355191
346.0,89.16592420308274,6.049708615542502
347.0,88.81984929854204,6.9986858270972485
348.0,89.54837948021333,7.633285484214014
349.0,89.87715133487238,7.387880265469146
350.0,91.42202621715342,7.633108533154838
351.0,91.78525140614991,7.758913412450634
352.0,91.5100119039323,6.792015209971133
353.0,90.89187713831818,7.276392684368663
354.0,91.52262948959344,8.48317028119894
355.0,92.69562548044713,8.917150505865127
356.0,92.13012260802714,7.752915677502343
357.0,92.55396638053334,7.753148884431252
358.0,93.411901901477,8.04486675538282
359.0,93.15956179786494,8.45404193874945
360.0,92.60824672071499,9.21923586653095
361.0,94.03363127233497,8.465109927718744
362.0,95.57181223280193,6.873956235401754
363.0,95.2146080638044,7.481587127404207
364.0,94.67389114069809,7.901557378365149
365.0,94.16214404568011,8.386142334471762
366.0,95.40156207772226,8.434463808679403
367.0,96.40096443144964,9.558319503832035
368.0,96.29945000930368,8.16582982653481
369.0,97.16699530475552,7.155052854896158
370.0,97.43967477919543,7.925900355607445
371.0,97.88912914047164,9.711722095158853
372.0,98.0520926030758,9.266676149207495
373.0,98.35430846848911,8.930742443069914
374.0,98.86526849903142,7.923916903523812
375.0,99.86831936824221,8.550066464158004
376.0,99.419375800185,9.858634745139542
377.0,98.6703469496918,9.073611510116699
378.0,100.24069084783793,8.793586893836451
379.0,101.77778602081375,7.611233261622995
380.0,102.66418694217083,8.246662764579284
381.0,102.24383390561742,8.094342311219668
382.0,102.16920879077395,7.853955403781674
383.0,103.05045380496868,8.964695142529049
384.0,104.0062799677448,9.687419459366552
385.0,104.13847481414771,8.946864452636577
386.0,104.66832534814556,7.9886296251563635
387.0,103.99123412703095,8.624842074267459
388.0,104.06345184316041,8.850562231668157
389.0,104.05672368938394,8.990594415325296
390.0,104.85615074319693,8.488801567712443
391.0,105.7482214214505,7.97054043538711
392.0,105.6357753274268,8.365906570263881
393.0,105.04641127033075,7.742022124381318
394.0,104.67698485779734,7.0299176641469
395.0,105.83337274384381,8.49536663929427
396.0,106.63407247922567,8.757837472369227
397.0,107.0317957524727,8.338159923919212
398.0,106.70862227159131,9.168647472477494
399.0,107.36909146001358,8.809692684545599
400.0,107.38144661073312,9.354062570911054
401.0,107.56154732634221,8.360446251613203
402.0,108.16124458174093,8.215973295519486
403.0,109.33984995790244,8.642556179506016
404.0,108.72180412619966,8.412241425641554
405.0,108.55097001000706,7.7824992556762425
406.0,108.8273023944113,8.11233465095075
407.0,109.73282032290835,8.465981111427578
408.0,111.20196411964294,8.807901098719254
409.0,110.3519834112883,8.669291309419991
410.0,110.31075786399806,8.632276144515613
411.0,111.04133530415368,7.99969722666601
412.0,110.08564483487652,7.451841840239179
413.0,110.71240645271916,7.212645694323579
414.0,111.310091131501,7.359515465824978
415.0,112.46898971913974,8.30075369171017
416.0,111.72328389811653,9.741411312552904
417.0,111.04795616513506,8.413805910630433
418.0,112.37778801332206,8.54884019128653
419.0,113.77319597089459,9.146816533648876
420.0,113.89501292267525,8.626486834049036
421.0,113.36913148410738,9.932365392188254
422.0,111.94932224146515,9.64641498071991
423.0,113.03833962457912,8.464591420480046
424.0,113.43733451172372,8.488435604954743
425.0,113.51435986953416,8.717885601070293
426.0,113.87593031159024,8.166162498720377
427.0,112.89985871140138,8.780285528790152
428.0,112.14158983105585,9.128993024560181
429.0,111.58114516967649,8.533783905518241
430.0,111.72462396852518,9.082360308218899
431.0,113.19599283768068,8.495259321659262
432.0,113.04245697126217,9.361819407295224
433.0,111.94982696806943,9.398581467086618
434.0,111.65241206327283,8.202173436242758
435.0,111.7643592825415,6.841615264780066
436.0,112.17508023719009,7.116955259124943
437.0,112.38833096439063,8.948411253771685
438.0,111.4325847226686,8.597917174872084
439.0,111.03668251419155,9.06032040610905
440.0,111.52067443912927,8.320360406794938
441.0,110.87015816103242,7.541804649410278
442.0,110.26736733928487,7.98161632937022
443.0,110.65932022455937,7.725564425810765
444.0,111.63213095383355,8.707418699945785
445.0,110.7427151905462,9.324277528559984
446.0,110.07000452164235,9.151490156023364
447.0,109.89706503682352,8.347577784233529
448.0,110.4037120401882,9.961367560882419
449.0,109.8373245669531,10.197547912165994
450.0,109.90243865183172,12.662872106760627
451.0,109.6518557770222,13.174268308985052
452.0,108.68216741204188,12.317987103367887
453.0,109.08923724695381,13.418949952858567
454.0,108.93557959439698,14.272697575164452
455.0,109.51162199785824,14.326713416209468
456.0,108.49222058042497,14.323579767243078
457.0,107.54764091047095,15.474623877950975
458.0,107.81741182459618,16.463020342845745
459.0,107.91890872439119,15.382619294489846
460.0,107.27985230962915,14.952528038002674
461.0,108.07364763938165,16.409190946207264
462.0,107.19879369802281,16.96359978449721
463.0,105.91185013453313,16.414561435440604
464.0,104.75487528046492,17.551098065240176
465.0,104.91427531015094,18.126958857912644
466.0,104.97859810654307,18.424960922022876
467.0,104.51175356508614,19.273016934711244
468.0,104.23684421238792,20.103374585992967
469.0,102.81681421063277,21.064853034417844
470.0,103.69736194922365,20.97606928687977
471.0,103.97679711330785,21.817870162157156
472.0,102.44237427581483,22.320031737526026
473.0,101.60804114997596,23.203612050355577
474.0,102.01554591073106,23.71423228963419
475.0,100.9774139571511,24.40244525336512
476.0,100.26952021454656,25.280869573382965
477.0,99.97077088682016,25.927121278209395
478.0,100.23028913543791,25.94017819199368
479.0,99.6674282820218,25.381504170645755
480.0,98.6921320430663,27.49494019205121
481.0,98.23566975905673,28.178252925037818
482.0,98.41812381754556,27.830047027781852
483.0,98.06168191165024,28.355574433790046
484.0,97.88680803805364,29.31378222112379
