NTP Epoch Time (s),Test Time (s),0: O2 (Vol fr),1: CO2 (Vol fr),2: CO (Vol fr),3: Io (%),4: I (%),5: Pe (Pa),6: CJC0 (°C),7: TCraw1 (V),8: TCraw2 (V),9: SampMass (g),10: BurnerFlow (SLPM),11: BurnerFlowSet (SLPM),12: TCraw3 (V),13: TCraw4 (V),14: TCraw5 (V),15: Hfspare (V),16: TCraw7 (V),17: HeatFlux (kW/m^2),18: CanopyFlow (V),19: MarkSig (V),20: Pamb (kPa),21: Tamb (°C),22: RHamb (%),23: Tsmk (°C),24: Tcone (°C),25: Te (°C),26: H2Oa (Vol fr),27: Rhoe (kg/m3),28: MFRe (kg/s),29: VFRe (L/s),30: Ksm (1/m),31: HRRmethane (kW),32: Phi (none),33: RHR (kW),34: RHRA (kW/m2),35: newCf (none),36: EvMark (none),System State
1565030880.80518675,30.00000000,0.20943477,0.00041511,0.00000220,101.18009940,102.24998777,130.87982013,20.32056223,0.00147078,0.00136887,-157.21675226,0.24557353,8.40206977,0.00643553,0.00788431,0.00782475,0.00006268,0.00066031,0.25462287,1.36227746,2.54793027,99.75000000,20.08000000,52.89200000,56.29116821,177.67150879,53.82921219,0.01247204,1.07971813,0.02530674,23.43828715,-0.09408394,0.14609174,0.00037198,0.02804050,2.80404972,NaN,0.00000000,
1565030881.80426502,31.00000000,0.20945277,0.00041160,0.00000236,101.15115194,102.15291257,130.34230331,20.32065957,0.00151253,0.00137043,-157.40190747,0.24530031,8.40255075,0.00642180,0.00827819,0.00810688,0.00006242,0.00066105,0.25175206,1.32841858,2.54795947,99.75000000,20.08000000,52.89600000,57.29910278,177.32832336,53.86695862,0.01247299,1.07959350,0.02525327,23.39145774,-0.08814742,0.14592921,0.00026754,0.02007625,2.00762501,NaN,0.00000000,
1565030882.80421686,32.00000000,0.20944972,0.00041352,0.00000220,101.17478252,101.95983681,129.57006288,20.32110731,0.00142996,0.00126735,-157.39577396,0.24465631,8.40082182,0.00638719,0.00739417,0.00733759,0.00006200,0.00066453,0.24349848,1.32433566,2.54789621,99.75000000,20.08000000,52.89800000,55.30606842,176.46290588,51.37368774,0.01247346,1.08788787,0.02527488,23.23298384,-0.06913629,0.14554609,0.00028375,0.02133001,2.13300079,NaN,0.00000000,
1565030883.80432558,33.00000000,0.20943742,0.00041087,0.00000209,101.12545368,102.08915100,130.76480561,20.32189896,0.00139933,0.00137218,-157.43602510,0.24512467,8.40510515,0.00657848,0.00724843,0.00710522,0.00006274,0.00065966,0.23973054,1.35277498,2.54803895,99.75000000,20.08000000,52.90200000,54.56686783,181.24914551,53.91052628,0.01247440,1.07944969,0.02529248,23.43089923,-0.08483541,0.14582472,0.00036153,0.02724092,2.72409173,NaN,0.00000000,
1565030884.80538225,34.00000000,0.20944657,0.00041156,0.00000179,101.06076497,101.97703094,129.07010181,20.32214230,0.00144437,0.00140021,-157.51269392,0.24506613,8.40463067,0.00651661,0.00832527,0.00808252,0.00006362,0.00065807,0.23990997,1.35457880,2.54798218,99.75000000,20.08000000,52.90400000,55.65499878,179.70138550,54.58827972,0.01247487,1.07721742,0.02510205,23.30267969,-0.08073016,0.14578989,0.00030578,0.02286531,2.28653107,NaN,0.00000000,
1565030885.80429411,35.00000000,0.20944047,0.00041507,0.00000197,101.08469093,101.94049341,128.10773539,20.32084775,0.00142221,0.00137685,-157.53320283,0.24496205,8.40329173,0.00646178,0.00842663,0.00831739,0.00006131,0.00066105,0.24601044,1.28177401,2.54806491,99.75000000,20.08000000,52.90600000,55.11849976,178.32838440,54.02243042,0.01247534,1.07908048,0.02502991,23.19559309,-0.07540747,0.14572797,0.00033794,0.02519770,2.51976962,NaN,0.00000000,
1565030886.80443287,36.00000000,0.20946578,0.00041205,0.00000223,101.12309062,102.13213633,131.83279764,20.32167185,0.00143489,0.00131222,-157.35801457,0.24567761,8.40266775,0.00665378,0.00838938,0.00818829,0.00006229,0.00066125,0.23775686,1.28852534,2.54795136,99.75000000,20.08000000,52.91100000,55.42573166,183.13314819,52.46026230,0.01247652,1.08425754,0.02545205,23.47416920,-0.08880980,0.14615366,0.00018856,0.01422515,1.42251542,NaN,0.00000000,
1565030887.80456495,37.00000000,0.20943701,0.00041079,0.00000202,101.05810653,102.04043430,129.65456336,20.32223639,0.00141108,0.00133010,-157.41781625,0.24495554,8.40499466,0.00659749,0.00795563,0.00791137,0.00006339,0.00065632,0.25031666,1.29740330,2.54806815,99.75000000,20.08000000,52.91500000,54.85099411,181.72518921,52.89328766,0.01247747,1.08281752,0.02522413,23.29490747,-0.08652492,0.14572410,0.00036417,0.02737025,2.73702464,NaN,0.00000000,
1565030888.80357075,38.00000000,0.20944535,0.00041928,0.00000221,100.97835331,101.98491158,129.37289516,20.32264195,0.00140277,0.00137043,-157.17880119,0.24487098,8.40390920,0.00666177,0.00851014,0.00839181,0.00006307,0.00066073,0.22950328,1.29569844,2.54792216,99.75000000,20.08000000,52.92300000,54.65069962,183.33383179,53.86889267,0.01247935,1.07958712,0.02515911,23.30437847,-0.08871830,0.14567380,0.00030284,0.02266928,2.26692821,NaN,0.00000000,
1565030889.80462837,39.00000000,0.20942532,0.00042009,0.00000304,101.02797753,101.80007468,131.02534872,20.32174647,0.00142623,0.00135183,-157.49851019,0.24457825,8.40618411,0.00679398,0.00838215,0.00827404,0.00006303,0.00065966,0.24278078,1.33726410,2.54805031,99.75000000,20.08000000,52.92500000,55.21656036,186.64132690,53.41853714,0.01247982,1.08107593,0.02533673,23.43658268,-0.06809798,0.14549965,0.00042171,0.03179241,3.17924094,NaN,0.00000000,
