,Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
185,185.0,37.537359,0.2084113939,0.0015997406,4.89557e-05,42.33918259320417,0.0248869534918956
186,186.0,37.452287,0.2084138309,0.0015829589999999,4.90876e-05,42.51301514515607,0.024958307968866
187,187.0,37.272008,0.2083909179,0.0015739845,4.69929e-05,43.58239952213448,0.0248211185861599
188,188.0,37.237297,0.2083428554,0.0015696903,4.55924e-05,46.58476628739665,0.0250779668731115
189,189.0,37.319788,0.2083345667,0.0015787547,4.52118e-05,47.107375142784434,0.0251772469892649
190,190.0,37.254157,0.2083687965,0.0016100057,4.63701e-05,44.644001158333566,0.0249917046970047
191,191.0,37.237021,0.2083936843,0.001616357,4.86187e-05,43.53958809342417,0.0251556250367522
192,192.0,37.237429,0.2083812912,0.0015930748,4.90182e-05,43.803201129826405,0.0248031646757775
193,193.0,37.152067,0.2083426321,0.0015790242,4.74605e-05,45.9916112920561,0.0248237865989711
194,194.0,37.132655,0.2082984067,0.0015840224,4.65336e-05,47.686885824558814,0.0245527103173097
195,195.0,37.052329,0.208302587,0.0015991538,4.69572e-05,47.927860139470575,0.0248739539567523
196,196.0,37.034761,0.2083369757,0.0016169677,4.95464e-05,46.42395458416876,0.0251403851309139
197,197.0,37.035004,0.2083564339,0.0016108722,5.22293e-05,45.53915030110231,0.0251978612167641
198,198.0,36.95347,0.2083510388999999,0.001596149,5.24481e-05,46.14314634969228,0.0252904000895232
199,199.0,36.849476,0.20831321,0.0015870709999999,5.12294e-05,48.742495528433295,0.025558038417294
200,200.0,36.831383,0.2082776182,0.0015883143,4.99793e-05,50.31693385450215,0.0254035591111866
201,201.0,36.750159,0.2083065171999999,0.0016008291,5.0233200000000006e-05,48.625504217149626,0.025382630669105
202,202.0,36.709472,0.208356548,0.0016245059,5.27465e-05,44.87965811764252,0.0249219974902941
203,203.0,36.648273,0.2083764636,0.001608304,5.49718e-05,44.85068252436636,0.0254082715803839
204,204.0,36.635742,0.2083650909,0.0015924693,5.44638e-05,45.02608499644698,0.0250734694741719
205,205.0,36.541426,0.2083262134,0.0015789596,5.16813e-05,47.535300632513085,0.0252372402857364
206,206.0,36.448274,0.2082995353,0.0015801865,5.0684500000000006e-05,48.55599718968894,0.0250468765787298
207,207.0,36.432926,0.2083332204,0.0015977322,5.11586e-05,47.09115730720054,0.0252983551755008
208,208.0,36.432248,0.2083653249,0.0016175574,5.29318e-05,44.835266635987054,0.0251094113339483
209,209.0,36.347721,0.2083923911999999,0.0016054097,5.47208e-05,44.169136658020406,0.0254747172907903
210,210.0,36.248444,0.2083803726,0.0015934427,5.41389e-05,44.7005277114875,0.0253385604391051
211,211.0,36.230217,0.2083348823,0.0015855568,5.22547e-05,46.77180490836688,0.0251128878533384
212,212.0,36.150681,0.208322495,0.0015931613,5.14781e-05,47.95498296334417,0.0254371337404449
213,213.0,36.131826,0.2083595157,0.0016160413,5.18514e-05,44.52080233568179,0.0247479572846814
214,214.0,36.132085,0.2083896341,0.0016212156,5.27057e-05,43.71234101728126,0.0252066893439656
215,215.0,36.04944,0.2083956252,0.0016041086,5.34025e-05,42.725606515963584,0.0247157264346002
216,216.0,36.029291,0.2083729541,0.0015763616999999,5.16336e-05,43.53998676094821,0.024344252791084
217,217.0,35.948311,0.208326509,0.0015689709,5.09982e-05,46.70449598981813,0.0247414435992654
218,218.0,35.849311,0.2083344788,0.0015759577,5.13042e-05,46.52514230957655,0.0249052136102797
219,219.0,35.831988,0.2083836925,0.0016002496,5.30366e-05,44.36261161499863,0.025275585349159
220,220.0,35.83227,0.2084121306,0.0016070205,5.581520000000001e-05,42.46743512540284,0.025102725474504
221,221.0,35.832039,0.2084136183,0.001583199,5.66356e-05,42.057495557001886,0.0247639242739176
222,222.0,35.747811,0.2083856932999999,0.0015656491,5.48085e-05,44.04791190765624,0.0249613518247538
223,223.0,35.729402,0.208341155,0.0015609495,5.33916e-05,46.79762051837542,0.0251692806901708
224,224.0,35.643117,0.2083538419,0.0015691785999999,5.36606e-05,45.72279087320771,0.0249921494925829
225,225.0,35.63036,0.2083910454999999,0.0015899853,5.53512e-05,43.9586815755001,0.0252231581385719
226,226.0,35.550652,0.2084148554,0.0015897818999999,5.77071e-05,42.25047053177217,0.0249677489164387
227,227.0,35.421052,0.2084112745,0.0015788490999999,5.74377e-05,42.729227098915175,0.0250690584886722
228,228.0,35.424179,0.2083802857,0.0015656034999999,5.480739999999999e-05,43.92669482540851,0.0247363826355284
229,229.0,35.35,0.2083379172,0.0015631227,5.34822e-05,46.65548253688267,0.025016620976555
230,230.0,35.252578,0.2083610024,0.0015806433,5.38783e-05,45.27420591684452,0.0250178800948112
231,231.0,35.313922,0.2083976806,0.0016002572,5.59415e-05,42.95036645112431,0.0249088270132385
232,232.0,35.170586,0.2084157874,0.0015946486,5.86518e-05,41.79265329973897,0.0247656985032021
233,233.0,35.130823,0.2084072004,0.001566896,5.87127e-05,42.6375301583765,0.0248314715601578
234,234.0,35.130541,0.2083679454,0.0015549393,5.78873e-05,45.07878692703864,0.0249940449495084
235,235.0,35.050968,0.2083371437,0.0015551966,5.82024e-05,46.35594024397536,0.0248340969762384
236,236.0,35.033338,0.2083687462,0.0015764705,6.0209e-05,45.1322537851311,0.02519893585386
237,237.0,35.033712,0.2084036261,0.0015927467,6.30283e-05,42.598048119091,0.0249073179731264
238,238.0,34.952109,0.2084165853,0.0015861715,6.6048e-05,42.1648353351959,0.0250344714844254
239,239.0,34.935258,0.2084024427,0.0015701356,6.66313e-05,42.56678656667468,0.0247502189934781
240,240.0,34.849063,0.2083581111,0.0015495008,6.481790000000001e-05,45.75323469196336,0.0251221036692916
241,241.0,34.831199,0.2083410393,0.0015517761999999,6.33148e-05,45.56448657349244,0.0245438730338756
242,242.0,34.751333,0.2083753955999999,0.0015741252,6.295730000000001e-05,44.25958132383981,0.0249151641547172
243,243.0,34.733957,0.2084076643,0.0015881105,6.343040000000001e-05,42.77372448863589,0.0251069962483029
244,244.0,34.649124,0.2084162938,0.0015833039,6.304269999999999e-05,41.74522521585497,0.0247271142003075
245,245.0,34.549318,0.20839937,0.0015676432,5.94675e-05,42.45468241988564,0.0245072039252468
246,246.0,34.613039,0.2083508716,0.0015618683,5.69173e-05,45.47739057455407,0.0247640737643275
247,247.0,34.549232,0.2083446103,0.0015667025,5.61533e-05,46.17050890349856,0.0249870758105926
248,248.0,34.451414,0.2083832226999999,0.0015842618999999,5.80537e-05,43.28149878240309,0.0245997253878188
249,249.0,34.419222,0.2084113589,0.0015921179999999,6.20565e-05,42.45784889231478,0.0250443453363088
250,250.0,34.42998,0.208415035,0.001579098,6.45372e-05,42.1316997656715,0.0249068033177427
